,experiment,site_id,metric,mean,std
0,01_baseline,0,Bias [m] (Test),0.2745670437812805,0.4802017504828047
1,01_baseline,0,F1 DLT (Test),,
2,01_baseline,0,F1 FMASK (Test),,
3,01_baseline,0,MAE [m] (Test),3.3574753284454344,0.12594842540832954
4,01_baseline,0,R2 [-] (Test),0.787487530708313,0.044913173902073784
5,01_baseline,0,RMSE [m] (Test),4.462601184844971,0.18891874384012527
6,01_baseline,0,nMAE [%] (Test),15.47843017578125,0.909825036831072
7,01_baseline,1,Bias [m] (Test),0.4630830298177898,0.344791797219511
8,01_baseline,1,F1 DLT (Test),,
9,01_baseline,1,F1 FMASK (Test),,
10,01_baseline,1,MAE [m] (Test),3.8363036632537844,0.20610483872260876
11,01_baseline,1,R2 [-] (Test),0.7952658653259277,0.03397513826264171
12,01_baseline,1,RMSE [m] (Test),5.074014472961426,0.2209186428996568
13,01_baseline,1,nMAE [%] (Test),20.963502502441408,1.7390009783653024
14,01_baseline,2,Bias [m] (Test),0.1159791260957718,0.45806985565181796
15,01_baseline,2,F1 DLT (Test),,
16,01_baseline,2,F1 FMASK (Test),,
17,01_baseline,2,MAE [m] (Test),5.104636859893799,0.360778089804321
18,01_baseline,2,R2 [-] (Test),0.34008944034576416,0.06808166386232949
19,01_baseline,2,RMSE [m] (Test),6.871461200714111,0.45958999958184377
20,01_baseline,2,nMAE [%] (Test),24.34391059875488,3.132208342282452
21,02_pixel_composites,0,Bias [m] (Test),0.18802319690585137,0.4236760828327731
22,02_pixel_composites,0,F1 DLT (Test),,
23,02_pixel_composites,0,F1 FMASK (Test),,
24,02_pixel_composites,0,MAE [m] (Test),3.2539099216461183,0.10135553134232374
25,02_pixel_composites,0,R2 [-] (Test),0.8003237962722778,0.03967052579902867
26,02_pixel_composites,0,RMSE [m] (Test),4.32883243560791,0.15470183663220263
27,02_pixel_composites,0,nMAE [%] (Test),15.095568656921387,0.7324916168557208
28,02_pixel_composites,1,Bias [m] (Test),0.33473055362701415,0.3322074494232882
29,02_pixel_composites,1,F1 DLT (Test),,
30,02_pixel_composites,1,F1 FMASK (Test),,
31,02_pixel_composites,1,MAE [m] (Test),3.7571576595306397,0.2608285055364646
32,02_pixel_composites,1,R2 [-] (Test),0.7998504757881164,0.038269787334896985
33,02_pixel_composites,1,RMSE [m] (Test),5.0109758377075195,0.2897357306085681
34,02_pixel_composites,1,nMAE [%] (Test),20.614242935180663,2.1922617046838995
35,02_pixel_composites,2,Bias [m] (Test),-0.027180634438991547,0.4095203897387789
36,02_pixel_composites,2,F1 DLT (Test),,
37,02_pixel_composites,2,F1 FMASK (Test),,
38,02_pixel_composites,2,MAE [m] (Test),5.035014533996582,0.28012729783031637
39,02_pixel_composites,2,R2 [-] (Test),0.35612658262252805,0.060018935021293095
40,02_pixel_composites,2,RMSE [m] (Test),6.785591697692871,0.35335793150959843
41,02_pixel_composites,2,nMAE [%] (Test),23.792175674438475,1.5186731817711885
42,03_seasonal_composites,0,Bias [m] (Test),-0.15625669257715344,0.18116870524747788
43,03_seasonal_composites,0,F1 DLT (Test),,
44,03_seasonal_composites,0,F1 FMASK (Test),,
45,03_seasonal_composites,0,MAE [m] (Test),3.2087323665618896,0.07026662077751247
46,03_seasonal_composites,0,R2 [-] (Test),0.8198596358299255,0.0230215052358588
47,03_seasonal_composites,0,RMSE [m] (Test),4.258207607269287,0.12770299587854358
48,03_seasonal_composites,0,nMAE [%] (Test),14.744143676757812,1.1193949736728395
49,03_seasonal_composites,1,Bias [m] (Test),0.19885588437318802,0.1516182479832031
50,03_seasonal_composites,1,F1 DLT (Test),,
51,03_seasonal_composites,1,F1 FMASK (Test),,
52,03_seasonal_composites,1,MAE [m] (Test),3.511210870742798,0.18312095427956512
53,03_seasonal_composites,1,R2 [-] (Test),0.7902873277664184,0.030666973416512415
54,03_seasonal_composites,1,RMSE [m] (Test),4.723881721496582,0.14676601740585835
55,03_seasonal_composites,1,nMAE [%] (Test),18.741107177734374,0.7694478613596087
56,03_seasonal_composites,2,Bias [m] (Test),-0.07899155393242836,0.27462127694462257
57,03_seasonal_composites,2,F1 DLT (Test),,
58,03_seasonal_composites,2,F1 FMASK (Test),,
59,03_seasonal_composites,2,MAE [m] (Test),4.842344665527344,0.2831254038078326
60,03_seasonal_composites,2,R2 [-] (Test),0.18591277599334716,0.03374545684859163
61,03_seasonal_composites,2,RMSE [m] (Test),6.625723934173584,0.48679715931184053
62,03_seasonal_composites,2,nMAE [%] (Test),18.068135070800782,0.37523337821266417
63,04_pixel_and_seasonal_comp,0,Bias [m] (Test),-0.23155214935541152,0.2602525816871131
64,04_pixel_and_seasonal_comp,0,F1 DLT (Test),,
65,04_pixel_and_seasonal_comp,0,F1 FMASK (Test),,
66,04_pixel_and_seasonal_comp,0,MAE [m] (Test),3.156088876724243,0.09972665062172842
67,04_pixel_and_seasonal_comp,0,R2 [-] (Test),0.8291534423828125,0.02150354921467556
68,04_pixel_and_seasonal_comp,0,RMSE [m] (Test),4.151705932617188,0.12662144521977484
69,04_pixel_and_seasonal_comp,0,nMAE [%] (Test),14.176967811584472,0.9755505594990075
70,04_pixel_and_seasonal_comp,1,Bias [m] (Test),0.10695337317883968,0.5830976866751004
71,04_pixel_and_seasonal_comp,1,F1 DLT (Test),,
72,04_pixel_and_seasonal_comp,1,F1 FMASK (Test),,
73,04_pixel_and_seasonal_comp,1,MAE [m] (Test),3.454021120071411,0.1413176335968991
74,04_pixel_and_seasonal_comp,1,R2 [-] (Test),0.781999146938324,0.0666202330420282
75,04_pixel_and_seasonal_comp,1,RMSE [m] (Test),4.61902494430542,0.16633561153378484
76,04_pixel_and_seasonal_comp,1,nMAE [%] (Test),17.71683578491211,0.5202513551967997
77,04_pixel_and_seasonal_comp,2,Bias [m] (Test),-0.38803672045469284,0.4251724318420897
78,04_pixel_and_seasonal_comp,2,F1 DLT (Test),,
79,04_pixel_and_seasonal_comp,2,F1 FMASK (Test),,
80,04_pixel_and_seasonal_comp,2,MAE [m] (Test),4.699375820159912,0.326912533051388
81,04_pixel_and_seasonal_comp,2,R2 [-] (Test),0.17898930311203004,0.02231003979936666
82,04_pixel_and_seasonal_comp,2,RMSE [m] (Test),6.351589775085449,0.41919959956318487
83,04_pixel_and_seasonal_comp,2,nMAE [%] (Test),16.502402687072752,1.412739600573096
84,05_support_fmask_dlt,0,Bias [m] (Test),-0.14710579067468643,0.3221123572840284
85,05_support_fmask_dlt,0,F1 DLT (Test),,
86,05_support_fmask_dlt,0,F1 FMASK (Test),,
87,05_support_fmask_dlt,0,MAE [m] (Test),3.1918982028961183,0.13508770580370444
88,05_support_fmask_dlt,0,R2 [-] (Test),0.8257569193840026,0.0199423812679492
89,05_support_fmask_dlt,0,RMSE [m] (Test),4.195293998718261,0.14711029867298855
90,05_support_fmask_dlt,0,nMAE [%] (Test),14.410573196411132,1.0224207784705077
91,05_support_fmask_dlt,1,Bias [m] (Test),0.28974993377923963,0.4380952203007357
92,05_support_fmask_dlt,1,F1 DLT (Test),,
93,05_support_fmask_dlt,1,F1 FMASK (Test),,
94,05_support_fmask_dlt,1,MAE [m] (Test),3.5185917377471925,0.06580167974713717
95,05_support_fmask_dlt,1,R2 [-] (Test),0.7742163419723511,0.06705543844029432
96,05_support_fmask_dlt,1,RMSE [m] (Test),4.702149772644043,0.10255499864414992
97,05_support_fmask_dlt,1,nMAE [%] (Test),18.109830856323242,0.3759121626808503
98,05_support_fmask_dlt,2,Bias [m] (Test),-0.366966524720192,0.4739404654763848
99,05_support_fmask_dlt,2,F1 DLT (Test),,
100,05_support_fmask_dlt,2,F1 FMASK (Test),,
101,05_support_fmask_dlt,2,MAE [m] (Test),4.731456279754639,0.2990898009876775
102,05_support_fmask_dlt,2,R2 [-] (Test),0.16759898662567138,0.04307006235878696
103,05_support_fmask_dlt,2,RMSE [m] (Test),6.390898418426514,0.37515578486013496
104,05_support_fmask_dlt,2,nMAE [%] (Test),16.562047004699707,1.4490067333407832
105,06_support_fmask_dlt_dem,0,Bias [m] (Test),-0.2103744179010391,0.2497378103953728
106,06_support_fmask_dlt_dem,0,F1 DLT (Test),,
107,06_support_fmask_dlt_dem,0,F1 FMASK (Test),,
108,06_support_fmask_dlt_dem,0,MAE [m] (Test),3.158580207824707,0.11138599654257238
109,06_support_fmask_dlt_dem,0,R2 [-] (Test),0.8287872791290283,0.021232350462605746
110,06_support_fmask_dlt_dem,0,RMSE [m] (Test),4.156595706939697,0.1301491789284991
111,06_support_fmask_dlt_dem,0,nMAE [%] (Test),14.223238372802735,1.0383342331587249
112,06_support_fmask_dlt_dem,1,Bias [m] (Test),0.17229804545640945,0.45315019665482015
113,06_support_fmask_dlt_dem,1,F1 DLT (Test),,
114,06_support_fmask_dlt_dem,1,F1 FMASK (Test),,
115,06_support_fmask_dlt_dem,1,MAE [m] (Test),3.4786262989044188,0.0762063971104429
116,06_support_fmask_dlt_dem,1,R2 [-] (Test),0.7794967532157898,0.061949572498759015
117,06_support_fmask_dlt_dem,1,RMSE [m] (Test),4.6542174339294435,0.10279151499420874
118,06_support_fmask_dlt_dem,1,nMAE [%] (Test),17.74322052001953,0.22365895564322866
119,06_support_fmask_dlt_dem,2,Bias [m] (Test),-0.427023814804852,0.35391074941675327
120,06_support_fmask_dlt_dem,2,F1 DLT (Test),,
121,06_support_fmask_dlt_dem,2,F1 FMASK (Test),,
122,06_support_fmask_dlt_dem,2,MAE [m] (Test),4.736132717132568,0.30958892966373186
123,06_support_fmask_dlt_dem,2,R2 [-] (Test),0.16512486934661866,0.030640904450538516
124,06_support_fmask_dlt_dem,2,RMSE [m] (Test),6.4027125358581545,0.3912317943076817
125,06_support_fmask_dlt_dem,2,nMAE [%] (Test),16.592747497558594,1.3626997277397461
126,07_aux_task,0,Bias [m] (Test),-0.03901139348745346,0.27830280238164024
127,07_aux_task,0,F1 DLT (Test),0.9506352688192689,0.002012614012833384
128,07_aux_task,0,F1 FMASK (Test),0.9904941742117362,0.0028534249230103997
129,07_aux_task,0,MAE [m] (Test),3.141668128967285,0.09269990691382068
130,07_aux_task,0,R2 [-] (Test),0.8274539709091187,0.01966549988601556
131,07_aux_task,0,RMSE [m] (Test),4.174400901794433,0.11820361840612761
132,07_aux_task,0,nMAE [%] (Test),14.374216651916504,1.0209092705778204
133,07_aux_task,1,Bias [m] (Test),0.31893379986286163,0.5012944735073731
134,07_aux_task,1,F1 DLT (Test),0.9636201541988761,0.00738149714648641
135,07_aux_task,1,F1 FMASK (Test),0.9814668774654652,0.0058167707938554854
136,07_aux_task,1,MAE [m] (Test),3.4794588565826414,0.08223855905109033
137,07_aux_task,1,R2 [-] (Test),0.7771997690200806,0.06668151947717971
138,07_aux_task,1,RMSE [m] (Test),4.66974573135376,0.11679284277443006
139,07_aux_task,1,nMAE [%] (Test),18.124745559692382,0.3547580400307254
140,07_aux_task,2,Bias [m] (Test),-0.1688145376741886,0.38705368707211646
141,07_aux_task,2,F1 DLT (Test),0.8941207881675801,0.018198612796520783
142,07_aux_task,2,F1 FMASK (Test),0.9588502501990828,0.015501367192537401
143,07_aux_task,2,MAE [m] (Test),4.71566162109375,0.30721204856262163
144,07_aux_task,2,R2 [-] (Test),0.1695989727973938,0.02861351546903038
145,07_aux_task,2,RMSE [m] (Test),6.38453426361084,0.36398134098058466
146,07_aux_task,2,nMAE [%] (Test),16.784939765930176,1.3956538680618158
