Experiment,combo,MAE [m] (Test) Mean,MAE [m] (Test) Std,MAE [m] (Test) Count,nMAE [%] (Test) Mean,nMAE [%] (Test) Std,nMAE [%] (Test) Count,RMSE [m] (Test) Mean,RMSE [m] (Test) Std,RMSE [m] (Test) Count,Bias [m] (Test) Mean,Bias [m] (Test) Std,Bias [m] (Test) Count,R2 [-] (Test) Mean,R2 [-] (Test) Std,R2 [-] (Test) Count,F1 FMASK (Test) Mean,F1 FMASK (Test) Std,F1 FMASK (Test) Count,F1 DLT (Test) Mean,F1 DLT (Test) Std,F1 DLT (Test) Count
01_baseline,_011,5.4719999999999995,0.33980876975145874,5,24.318000030517577,1.181172762199646,5,7.525999927520752,0.45081038199558915,5,-3.200000047683716,0.7337575429239556,5,0.4279999971389771,0.0690651817923067,5,,,0,,,0
01_baseline,_101,5.718,0.06978538528947148,5,33.454000091552736,0.5691042868682393,5,7.534000015258789,0.12759301708278473,5,4.131999969482422,0.12517984453128514,5,0.5620000004768372,0.016431661054686915,5,,,0,,,0
01_baseline,_110,7.68,0.09874208829065746,5,28.91800003051758,0.23231405324747612,5,10.026000022888184,0.09555124427893599,5,-4.965999984741211,0.32462295907035915,5,-0.40999999046325686,0.025495096632810778,5,,,0,,,0
02_pixel_composites,_011,4.698,0.2647073856166464,5,20.86599998474121,1.0846106163304532,5,6.432000064849854,0.4246999212810755,5,-2.0759999990463256,0.5530189851533748,5,0.5800000071525574,0.056124857721809605,5,,,0,,,0
02_pixel_composites,_101,6.07,0.11726039399558567,5,35.2879997253418,0.984159983415542,5,7.893999862670898,0.1594677728246179,5,4.514000034332275,0.1825650186075014,5,0.5199999928474426,0.022360678442204504,5,,,0,,,0
02_pixel_composites,_110,7.812,0.17541379649275013,5,29.367999649047853,0.4007120347724738,5,10.130000114440918,0.19364919193446292,5,-5.1519999504089355,0.38179826115874455,5,-0.43999999165534975,0.05244043075819417,5,,,0,,,0
03_seasonal_composites,_011,4.8,0.14866068747318492,5,21.086000061035158,0.45861782645885946,5,6.1800000190734865,0.18411944144900286,5,-2.245999979972839,0.42104628764465607,5,0.6119999885559082,0.024899801781267487,5,,,0,,,0
03_seasonal_composites,_101,4.386,0.13831124321616073,5,25.91799964904785,0.7206035977286216,5,5.810000038146972,0.13472205513148622,5,1.584000015258789,0.2169792833063933,5,0.7120000004768372,0.014832408949466368,5,,,0,,,0
03_seasonal_composites,_110,7.358,0.3210451681617399,5,22.405999755859376,0.8157080346416138,5,9.550000190734863,0.3981204266488001,5,-5.685999965667724,0.4717838526932852,5,-0.7740000009536743,0.147411003362875,5,,,0,,,0
04_pixel_and_seasonal_comp,_011,5.286,0.5318646444350291,5,21.93000030517578,1.7959397987735053,5,6.8199999809265135,0.5647566434985604,5,-3.709999990463257,0.7827196480206814,5,0.5219999969005584,0.07791020635267283,5,,,0,,,0
04_pixel_and_seasonal_comp,_101,4.486,0.12720062892926262,5,26.60399971008301,1.1689444152045108,5,5.968000030517578,0.1843095081975269,5,1.953999972343445,0.44190493701599354,5,0.6880000114440918,0.019235390506965534,5,,,0,,,0
