,0,1,2,3,4,5,6
Experiment,01_baseline,02_pixel_composites,03_seasonal_composites,04_pixel_and_seasonal_comp,05_support_fmask_dlt,06_support_fmask_dlt_dem,07_aux_task
MAE [m] (Val),4.17,4.12,3.72,3.68,3.73,3.64,3.71
MAE [m] (Test),4.17,4.11,3.84,3.74,3.79,3.74,3.75
nMAE [%] (Val),19.25,19.18000030517578,17.209999084472656,15.920000076293945,16.100000381469727,15.819999694824219,16.329999923706055
nMAE [%] (Test),19.860000610351562,19.670000076293945,16.889999389648438,16.010000228881836,16.229999542236328,15.979999542236328,16.270000457763672
RMSE [m] (Val),5.679999828338623,5.639999866485596,5.010000228881836,5.130000114440918,5.190000057220459,5.079999923706055,5.210000038146973
RMSE [m] (Test),5.599999904632568,5.550000190734863,5.28000020980835,5.130000114440918,5.190000057220459,5.119999885559082,5.159999847412109
Bias [m] (Val),-0.07999999821186066,-0.019999999552965164,-0.019999999552965164,-0.07000000029802322,-0.10000000149011612,-0.029999999329447746,0.019999999552965164
Bias [m] (Test),0.38999998569488525,0.36000001430511475,-0.10999999940395355,-0.12999999523162842,-0.1899999976158142,-0.17000000178813934,-0.03999999910593033
R2 [-] (Val),0.6700000166893005,0.6700000166893005,0.75,0.7400000095367432,0.7300000190734863,0.7400000095367432,0.7300000190734863
R2 [-] (Test),0.6700000166893005,0.6700000166893005,0.7200000286102295,0.7200000286102295,0.7099999785423279,0.7200000286102295,0.7200000286102295
F1 FMASK (Test),,,,,,,0.9797
F1 DLT (Test),,,,,,,0.9453
"MAE [m] (Val, >5m)",4.22,4.22,3.82,3.79,3.86,3.78,3.85
"MAE [m] (Test, >5m)",4.22,4.21,3.96,3.84,3.9,3.85,3.87
"RMSE [m] (Val, >5m)",5.710000038146973,5.690000057220459,5.079999923706055,5.239999771118164,5.300000190734863,5.199999809265137,5.320000171661377
"RMSE [m] (Test, >5m)",5.639999866485596,5.630000114440918,5.389999866485596,5.210000038146973,5.269999980926514,5.199999809265137,5.25
"Bias [m] (Val, >5m)",-0.3100000023841858,-0.20000000298023224,-0.20999999344348907,-0.23999999463558197,-0.25999999046325684,-0.17000000178813934,-0.11999999731779099
"Bias [m] (Test, >5m)",0.18000000715255737,0.20000000298023224,-0.27000001072883606,-0.30000001192092896,-0.3499999940395355,-0.3199999928474426,-0.17000000178813934
"R2 [-] (Val, >5m)",0.38999998569488525,0.4000000059604645,0.47999998927116394,0.46000000834465027,0.44999998807907104,0.4699999988079071,0.4399999976158142
"R2 [-] (Test, >5m)",0.3799999952316284,0.3799999952316284,0.4399999976158142,0.4300000071525574,0.41999998688697815,0.4300000071525574,0.4300000071525574
spectral,"{'seasons': ['summer'], 'quantiles': ['Q50']}","{'seasons': ['summer'], 'quantiles': ['Q25', 'Q50', 'Q75']}","{'seasons': ['spring', 'summer', 'autumn'], 'quantiles': ['Q50']}","{'seasons': ['spring', 'summer', 'autumn'], 'quantiles': ['Q25', 'Q50', 'Q75']}","{'seasons': ['spring', 'summer', 'autumn'], 'quantiles': ['Q25', 'Q50', 'Q75']}","{'seasons': ['spring', 'summer', 'autumn'], 'quantiles': ['Q25', 'Q50', 'Q75']}","{'seasons': ['spring', 'summer', 'autumn'], 'quantiles': ['Q25', 'Q50', 'Q75']}"
aux_inputs,['FMASK'],['FMASK'],['FMASK'],['FMASK'],"['FMASK', 'DLT']","['FMASK', 'DLT', 'DEM']",[]
strategy,all_in_model,all_in_model,all_in_model,all_in_model,all_in_model,all_in_model,aux_task
outputs,"{'canopy_height': {'target': 'CHM_norm', 'loss': 'huber'}}","{'canopy_height': {'target': 'CHM_norm', 'loss': 'huber'}}","{'canopy_height': {'target': 'CHM_norm', 'loss': 'huber'}}","{'canopy_height': {'target': 'CHM_norm', 'loss': 'huber'}}","{'canopy_height': {'target': 'CHM_norm', 'loss': 'huber'}}","{'canopy_height': {'target': 'CHM_norm', 'loss': 'huber'}}","{'canopy_height': {'target': 'CHM_norm', 'out_channels': 1, 'loss': 'huber', 'weight': 1.0, 'activation': None}, 'tree_cover': {'target': 'FMASK', 'out_channels': 1, 'loss': 'bce', 'weight': 0.3, 'activation': None}, 'leaf_type': {'target': 'DLT', 'out_channels': 3, 'loss': 'crossentropy', 'weight': 0.2, 'activation': None}}"
exp,01_baseline,02_pixel_composites,03_seasonal_composites,04_pixel_and_seasonal_comp,05_support_fmask_dlt,06_support_fmask_dlt_dem,07_aux_task
seed,50,50,50,50,50,50,50
patch_size,32,32,32,32,32,32,32
num_bands,15,15,15,15,15,15,15
batch_size,128,128,128,128,128,128,128
learning_rate,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
weight_decay,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
scheduler_type,ReduceLROnPlateau,ReduceLROnPlateau,ReduceLROnPlateau,ReduceLROnPlateau,ReduceLROnPlateau,ReduceLROnPlateau,ReduceLROnPlateau
scheduler_patience,15,15,15,15,15,15,15
scheduler_factor,0.5,0.5,0.5,0.5,0.5,0.5,0.5
scheduler_min_lr,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
early_stopping_patience,75,75,75,75,75,75,75
epochs,500,500,500,500,500,500,500
huber_delta,1.35,1.35,1.35,1.35,1.35,1.35,1.35
device,mps,mps,mps,mps,mps,mps,mps
epochs_ran,434.0,,439.0,,493.0,,
